Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 10/29  05:00:00,816.143395295,96.3525857472,449.471604342,0.0,44.4937663224,113.312780494,444.580021216,413.038539528,14.1616749024,17.3798067855
 10/29  06:00:00,888.333052007,96.3525857472,449.848146114,0.0,54.0258772165,176.889270242,393.146771831,356.124077611,28.3233498048,8.69934441558
 10/29  07:00:00,881.450443429,96.3525857472,450.433845852,0.0,54.0258772165,184.38654557,396.108667511,344.92382025,42.4850247072,8.69982255404
 10/29  08:00:00,967.044569966,96.3525857472,454.328017111,0.0,65.1572554096,220.04316451,384.392255087,310.298340392,56.6466996096,17.4472150845
 10/29  09:00:00,959.544870142,96.3525857472,451.912483326,0.0,65.1572554096,212.545889182,356.503291413,287.758594966,42.4850247072,26.2596717399
 10/29  10:00:00,953.498476504,96.3525857472,437.147398075,0.0,65.1572554096,220.04316451,365.792371806,277.404327494,70.808374512,17.5796697997
 10/29  11:00:00,942.3111614,96.3525857472,423.814842572,0.0,65.1572554096,220.04316451,368.058972651,270.887225462,70.808374512,26.3633726765
 10/29  12:00:00,936.258542402,96.3525857472,415.557898687,0.0,65.1572554096,220.04316451,360.009714106,262.842986166,70.808374512,26.3583534282
 10/29  13:00:00,924.434151621,96.3525857472,411.680065206,0.0,65.1572554096,212.545889182,337.218059983,254.212571092,56.6466996096,26.3587892816
 10/29  14:00:00,922.519097428,96.3525857472,411.513868482,0.0,65.1572554096,212.545889182,311.352575382,242.508162748,42.4850247072,26.359387927
 10/29  15:00:00,925.565695123,96.3525857472,411.516026939,0.0,65.1572554096,212.545889182,306.150679966,231.925626416,56.6466996096,17.5783539397
 10/29  16:00:00,903.183483354,96.3525857472,417.586696975,0.0,65.1572554096,220.04316451,344.587301205,233.255885037,84.9700494144,26.3613667531
 10/29  17:00:00,883.471588025,96.3525857472,442.445596184,0.0,54.0258772165,184.38654557,364.539759633,262.057951025,84.9700494144,17.5117591932
 10/29  18:00:00,883.885867356,96.3525857472,463.03177707,0.0,44.4937663224,163.454314868,422.763339449,320.411902749,84.9700494144,17.3813872853
 10/29  19:00:00,885.281662825,96.3525857472,471.875542802,0.0,44.4937663224,155.95703954,400.025588313,334.67999454,56.6466996096,8.69889416352
 10/29  20:00:00,853.311215242,96.3525857472,471.948050366,0.0,44.4937663224,124.558693486,446.53358626,372.507714285,56.6466996096,17.3791723651
 10/29  21:00:00,848.764271579,96.3525857472,469.160270226,0.0,44.4937663224,124.558693486,434.236561125,383.051226418,42.4850247072,8.70030999993
 10/29  22:00:00,832.00777269,96.3525857472,463.863984566,0.0,34.9616554283,124.558693486,448.378688691,402.675756723,28.3233498048,17.3795821631
 10/29  23:00:00,825.007203145,96.3525857472,456.849268644,0.0,34.9616554283,124.558693486,433.640521254,410.779616727,14.1616749024,8.69922962476
